    WARNING: 0 (U+0030) is already defined more than once on the keyboard (on VK_0, ShiftState 'Ctrl' and VK_0, ShiftState 'Base').
    WARNING: 1 (U+0031) is already defined more than once on the keyboard (on VK_1, ShiftState 'Ctrl' and VK_1, ShiftState 'Base').
    WARNING: 2 (U+0032) is already defined more than once on the keyboard (on VK_2, ShiftState 'Ctrl' and VK_2, ShiftState 'Base').
    WARNING: 3 (U+0033) is already defined more than once on the keyboard (on VK_3, ShiftState 'Ctrl' and VK_3, ShiftState 'Base').
    WARNING: 4 (U+0034) is already defined more than once on the keyboard (on VK_4, ShiftState 'Ctrl' and VK_4, ShiftState 'Base').
    WARNING: 5 (U+0035) is already defined more than once on the keyboard (on VK_5, ShiftState 'Ctrl' and VK_5, ShiftState 'Base').
    WARNING: 6 (U+0036) is already defined more than once on the keyboard (on VK_6, ShiftState 'Ctrl' and VK_6, ShiftState 'Base').
    WARNING: 7 (U+0037) is already defined more than once on the keyboard (on VK_7, ShiftState 'Ctrl' and VK_7, ShiftState 'Base').
    WARNING: 8 (U+0038) is already defined more than once on the keyboard (on VK_8, ShiftState 'Ctrl' and VK_8, ShiftState 'Base').
    WARNING: 9 (U+0039) is already defined more than once on the keyboard (on VK_9, ShiftState 'Ctrl' and VK_9, ShiftState 'Base').
    WARNING: b (U+0062) is already defined more than once on the keyboard (on VK_B, ShiftState 'Ctrl' and VK_B, ShiftState 'Base').
    WARNING: g (U+0067) is already defined more than once on the keyboard (on VK_G, ShiftState 'Ctrl' and VK_G, ShiftState 'Base').
    WARNING: a (U+0061) is already defined more than once on the keyboard (on VK_J, ShiftState 'Base' and VK_A, ShiftState 'Ctrl').
    WARNING: e (U+0065) is already defined more than once on the keyboard (on VK_K, ShiftState 'Base' and VK_E, ShiftState 'Ctrl').
    WARNING: i (U+0069) is already defined more than once on the keyboard (on VK_L, ShiftState 'Base' and VK_I, ShiftState 'Ctrl').
    WARNING: l (U+006c) is already defined more than once on the keyboard (on VK_L, ShiftState 'Ctrl' and VK_C, ShiftState 'Base').
    WARNING: m (U+006d) is already defined more than once on the keyboard (on VK_M, ShiftState 'Ctrl' and VK_E, ShiftState 'Base').
    WARNING: n (U+006e) is already defined more than once on the keyboard (on VK_N, ShiftState 'Ctrl' and VK_D, ShiftState 'Base').
    WARNING: q (U+0071) is already defined more than once on the keyboard (on VK_Q, ShiftState 'Ctrl' and VK_I, ShiftState 'Base').
    WARNING: p (U+0070) is already defined more than once on the keyboard (on VK_R, ShiftState 'Base' and VK_P, ShiftState 'Ctrl').
    WARNING: r (U+0072) is already defined more than once on the keyboard (on VK_R, ShiftState 'Ctrl' and VK_A, ShiftState 'Base').
    WARNING: s (U+0073) is already defined more than once on the keyboard (on VK_S, ShiftState 'Ctrl' and VK_S, ShiftState 'Base').
    WARNING: t (U+0074) is already defined more than once on the keyboard (on VK_T, ShiftState 'Ctrl' and VK_F, ShiftState 'Base').
    WARNING: u (U+0075) is already defined more than once on the keyboard (on VK_U, ShiftState 'Ctrl' and VK_M, ShiftState 'Base').
    WARNING: d (U+0064) is already defined more than once on the keyboard (on VK_V, ShiftState 'Base' and VK_D, ShiftState 'Ctrl').
    WARNING: v (U+0076) is already defined more than once on the keyboard (on VK_V, ShiftState 'Ctrl' and VK_T, ShiftState 'Base').
    WARNING: f (U+0066) is already defined more than once on the keyboard (on VK_W, ShiftState 'Base' and VK_F, ShiftState 'Ctrl').
    WARNING: w (U+0077) is already defined more than once on the keyboard (on VK_W, ShiftState 'Ctrl' and VK_Q, ShiftState 'Base').
    WARNING: c (U+0063) is already defined more than once on the keyboard (on VK_X, ShiftState 'Base' and VK_C, ShiftState 'Ctrl').
    WARNING: x (U+0078) is already defined more than once on the keyboard (on VK_Z, ShiftState 'Base' and VK_X, ShiftState 'Ctrl').
    WARNING: h (U+0068) is already defined more than once on the keyboard (on VK_OEM_1, ShiftState 'Base' and VK_H, ShiftState 'Ctrl').
    WARNING: ; (U+003b) is already defined more than once on the keyboard (on VK_OEM_1, ShiftState 'Ctrl' and VK_H, ShiftState 'Shift').
    WARNING: o (U+006f) is already defined more than once on the keyboard (on VK_OEM_COMMA, ShiftState 'Base' and VK_O, ShiftState 'Ctrl').
    WARNING: , (U+002c) is already defined more than once on the keyboard (on VK_OEM_COMMA, ShiftState 'Ctrl' and VK_H, ShiftState 'Base').
    WARNING: = (U+003d) is already defined more than once on the keyboard (on VK_OEM_MINUS, ShiftState 'Base' and VK_OEM_PLUS, ShiftState 'Ctrl').
    WARNING: - (U+002d) is already defined more than once on the keyboard (on VK_OEM_MINUS, ShiftState 'Ctrl' and VK_N, ShiftState 'Base').
    WARNING: y (U+0079) is already defined more than once on the keyboard (on VK_OEM_PERIOD, ShiftState 'Base' and VK_Y, ShiftState 'Ctrl').
    WARNING: . (U+002e) is already defined more than once on the keyboard (on VK_OEM_PERIOD, ShiftState 'Ctrl' and VK_U, ShiftState 'Base').
